Facility Name,City,State,Ownership Type,Facility Size,Certified Beds,Overall Rating,Staffing Rating,Staffing Status,Total Nurse Hours Per Resident Day,RN Hours Per Resident Day,Weekend Nurse Hours Per Resident Day,Total Nursing Turnover Rate,RN Turnover Rate
CAPITAL POST ACUTE,SACRAMENTO,CA,For-Profit,Medium,121,2,3,Adequate,4.09,0.61,3.66,43.8,44
COLUMBINE MANOR CARE CENTER,SALIDA,CO,For-Profit,Medium,112,4,3,Understaffed,3.24,1.06,2.86,70.3,53.3
Heartland Health Care Center - Greenville East,Greenville,SC,For-Profit,Medium,132,5,3,Understaffed,3.2,0.61,2.64,44.3,18.8
HERITAGE CENTER FOR REHAB AND SPECIALITY CARE,MINSTER,OH,For-Profit,Medium,83,2,4,Adequate,4.52,0.52,3.98,27.8,25
MANOR COURT OF MARYVILLE,MARYVILLE,IL,Non-Profit,Medium,132,4,4,Adequate,4.19,0.64,3.52,44,16.7
D'YOUVILLE SENIOR CARE,LOWELL,MA,Non-Profit,Large,208,3,3,Adequate,3.76,0.27,3.52,37.3,33.3
HERITAGE MANOR OF SLIDELL,SLIDELL,LA,For-Profit,Medium,120,4,3,Adequate,3.73,0.35,3.02,49.6,20
MEDICALODGES COFFEYVILLE ON MIDLAND,COFFEYVILLE,KS,For-Profit,Medium,100,2,5,Adequate,4.53,0.8,3.93,40.2,23.1
GOLD CITY HEALTH AND REHAB,DAHLONEGA,GA,For-Profit,Medium,102,1,1,Understaffed,2.99,0.31,2.7,66.7,80
Woodbury Wellness Center Inc,Hampstead,NC,For-Profit,Medium,112,3,4,Adequate,4.66,0.77,4.09,47.2,40
GRAND COVE NURSING & REHABILITATION CENTER,LAKE CHARLES,LA,For-Profit,Medium,109,4,2,Adequate,3.57,0.32,2.98,48.8,40
SILVER HEIGHTS SKILLED NURSING AND REHABILITATION,CASTLE ROCK,CO,For-Profit,Medium,91,3,4,Understaffed,3.31,0.82,3.08,60,62.5
CHESTNUT HILL LODGE HEALTH AND REHAB CTR,WYNDMOOR,PA,For-Profit,Large,181,2,3,Understaffed,3.46,0.41,3.13,59.8,43.8
PARKVIEW JULIAN HEALTHCARE CENTER,BAKERSFIELD,CA,For-Profit,Medium,99,1,1,Adequate,3.9,0.34,3.62,50,66.7
SOLARIS HEALTHCARE PLANT CITY,PLANT CITY,FL,Non-Profit,Large,180,4,4,Adequate,3.91,0.47,3.53,34.5,29.4
KINGSTON CARE CENTER OF SYLVANIA,SYLVANIA,OH,For-Profit,Medium,127,4,3,Adequate,4.42,0.7,3.96,48.6,26.3
Glenoaks Senior Living Campus,NEW LONDON,MN,For-Profit,Medium,52,1,3,Adequate,3.51,0.56,3.11,59.1,50
Graham Healthcare and Rehabilitation Center,Robbinsville,NC,For-Profit,Medium,80,3,2,Understaffed,3.2,0.63,2.62,58.8,69.2
Autumn Care of Nash,Nashville,NC,For-Profit,Medium,60,3,4,Adequate,3.87,0.78,3.17,45.6,36.4
FOREST RIDGE HEALTH AND REHAB LLC,WOODLAND PARK,CO,For-Profit,Medium,80,4,5,Adequate,3.73,0.88,3.42,43.3,40.9
Thornapple Manor,Hastings,MI,Government,Large,161,5,5,Adequate,4.92,0.87,4.05,45.3,13.8
Parkview Manor,Wellman,IA,For-Profit,Medium,62,1,1,Adequate,3.53,0.44,2.97,81.4,90.9
LEISURE CHATEAU REHABILITATION,LAKEWOOD,NJ,For-Profit,Large,242,4,3,Adequate,3.84,0.32,3.44,34.3,61.5
CEDAR LAKE HEALTH AND REHAB CENTER,WEST BEND,WI,Non-Profit,Medium,75,4,5,Adequate,4.83,1.54,4.21,36.5,23.8
Avir at Grapevine,GRAPEVINE,TX,For-Profit,Medium,126,2,1,Understaffed,2.95,0.34,2.79,66.7,57.1
Life Care Center of Seneca,SENECA,KS,For-Profit,Medium,60,4,4,Adequate,3.8,0.71,3.4,16.3,0
THE SPRINGS OF GREERS FERRY,HEBER SPRINGS,AR,For-Profit,Medium,140,2,3,Adequate,4.35,0.37,3.83,52.8,63.6
GOLDEN YEARS NURSING CENTER,HAMILTON,OH,For-Profit,Medium,70,5,2,Understaffed,3.4,0.61,2.99,29.3,30
FREMONT HEALTHCARE CENTER,FREMONT,CA,For-Profit,Medium,115,3,4,Adequate,4.01,0.72,3.74,35.2,23.8
COLONIAL MANOR NURSING & REHABILITATION HOME,RAYVILLE,LA,For-Profit,Medium,105,2,2,Adequate,4.04,0.28,3.4,55.3,66.7
GARDENS OF BELDEN VILLAGE,CANTON,OH,For-Profit,Medium,99,3,1,Understaffed,3.25,0.34,2.88,50,45.5
Avir at Fort Worth,FORT WORTH,TX,For-Profit,Medium,120,2,1,Understaffed,3.27,0.5,3.01,75.6,60
Wellspring Lutheran Services,Fairview,MI,For-Profit,Small,39,5,4,Adequate,4.15,1.01,3.25,44.2,57.1
WILLOWOOD CARE CENTER OF BRUNSWICK,BRUNSWICK,OH,For-Profit,Medium,100,4,2,Adequate,3.91,0.49,3.5,60.4,33.3
BRIARCLIFF HEALTH & REHABILITATION CENTER,SOUTH BEND,IN,Non-Profit,Medium,131,2,3,Adequate,4.29,0.38,3.76,42.9,53.8
GOLDEN MADERA CARE CENTER,MADERA,CA,For-Profit,Medium,64,4,4,Adequate,4.21,0.61,3.85,44.4,55.6
WESTWARD TRAILS NURSING AND REHABILITATION,NACOGDOCHES,TX,For-Profit,Medium,108,3,2,Adequate,3.49,0.18,2.78,36,50
Fraser Health Center,Hilton Head Island,SC,Non-Profit,Small,33,5,5,Adequate,5.17,1.19,4.48,16.7,36.4
"IGNITE MEDICAL RESORT WEBSTER, LLC",WEBSTER,TX,For-Profit,Medium,70,5,2,Adequate,4.24,0.72,3.84,43.6,62.5
PruittHealth-Carolina Point,Durham,NC,For-Profit,Medium,138,1,2,Adequate,3.92,0.65,3.13,73.8,94.7
HILLSBOROUGH COUNTY NURSING HOME,GOFFSTOWN,NH,Government,Large,300,5,5,Adequate,3.76,0.69,3.25,33.3,19.5
"GOODWILL MENNONITE HOME, INC.",GRANTSVILLE,MD,Non-Profit,Medium,107,4,5,Adequate,4.28,0.83,3.67,27,25
MARKLE HEALTH & REHABILITATION,MARKLE,IN,Non-Profit,Medium,86,5,2,Understaffed,3.46,0.37,2.85,50,50
ASPEN TRACE HEALTH & LIVING COMMUNITY,GREENWOOD,IN,Government,Medium,104,5,1,Adequate,3.77,0.32,3.08,69.4,77.8
TJ Samson Community Hospital,Glasgow,KY,Non-Profit,Small,16,4,1,Understaffed,0.94,0.67,1.05,68,71.4
OAKDALE NURSING AND REHABILITATION CENTER,OAKDALE,CA,Government,Medium,115,4,5,Adequate,4.22,1.07,3.69,46.6,17.4
ARBORS AT SYLVANIA,TOLEDO,OH,For-Profit,Medium,77,3,3,Adequate,3.88,0.49,3.39,56,50
Emerald Nursing & Rehab Lancaster LLC,Lincoln,NE,For-Profit,Large,293,1,2,Adequate,3.8,0.27,3.36,72.6,91.3
"CENTURY VILLA, INC",INGLEWOOD,CA,For-Profit,Medium,99,2,4,Adequate,4.13,0.39,3.86,37.1,20
NORTH SHORE HEALTH & REHAB FACILITY,LOVELAND,CO,For-Profit,Medium,120,4,4,Adequate,4.35,1.1,3.79,58.9,52
GARDEN VIEW POST ACUTE REHABILITATION,BALDWIN PARK,CA,For-Profit,Medium,97,4,3,Adequate,4.14,0.44,3.73,38.5,14.3
Pruitthealth-Durham,Durham,NC,For-Profit,Medium,125,2,4,Adequate,3.68,0.74,3.19,40.9,40
FARMVILLE HEALTH & REHAB CENTER,FARMVILLE,VA,For-Profit,Medium,120,2,3,Understaffed,3.25,0.4,2.65,36.4,12.5
PALOLO CHINESE HOME,HONOLULU,HI,For-Profit,Medium,113,2,4,Adequate,4.25,1.49,3.89,45.4,51.4
Pillar of Cedar Valley,Waterloo,IA,Non-Profit,Medium,114,2,4,Understaffed,2.95,0.42,2.54,40,15.4
SUNRISE HEALTH & REHABILITATION CENTER,SUNRISE,FL,For-Profit,Large,237,4,4,Adequate,4.18,1.13,3.86,35.1,38.9
LIVINGSTON HEALTH & REHABILITATION CENTER,LIVINGSTON,MT,For-Profit,Medium,115,2,3,Understaffed,3.14,0.65,2.96,72.2,45.5
SHANNONDALE OF MARYVILLE HEALTH CARE CENTER,MARYVILLE,TN,Non-Profit,Small,44,3,3,Adequate,4.24,0.66,4.17,63.9,60
CAREONE AT PARSIPPANY,PARSIPPANY TROY HILL,NJ,For-Profit,Medium,118,4,3,Understaffed,3.36,0.82,2.85,31.6,33.3
Linville Court At The Cascades Verdae,Greenville,SC,For-Profit,Small,44,4,5,Adequate,5.78,1.06,4.88,47.9,46.2
IDEAL SENIOR LIVING CENTER,ENDICOTT,NY,Non-Profit,Large,150,2,5,Adequate,4.4,0.6,3.79,26,23.5
Clarence Nursing Home,Clarence,IA,For-Profit,Small,46,5,4,Understaffed,3.34,0.54,3.01,23.8,0
HOMEWOOD LIVING FREDERICK,FREDERICK,MD,Non-Profit,Medium,120,5,5,Adequate,4.28,1.07,3.86,18.9,19
VIVO HEALTHCARE FORT PIERCE,FORT PIERCE,FL,For-Profit,Medium,79,3,4,Understaffed,3.46,0.7,3.16,25.4,35.7
APPLE VALLEY POST-ACUTE REHAB,SEBASTOPOL,CA,For-Profit,Medium,95,4,4,Adequate,4.54,0.49,4,32.6,50
WHITEWATER HEALTH SERVICES,ST CHARLES,MN,For-Profit,Small,45,2,4,Adequate,3.82,1.11,3.36,33.3,57.1
EVERGREEN NURSING HOME,ALAMOSA,CO,For-Profit,Medium,60,5,5,Adequate,3.78,0.79,3.25,31,14.3
DIVERSICARE OF MOSS POINT,MOSS POINT,MS,For-Profit,Large,160,2,4,Understaffed,3.41,0.63,2.96,31.3,27.3
HILLSIDE VILLAGE OF DE SOTO REHABILITATION AND NUR,DE SOTO,KS,For-Profit,Small,49,3,2,Adequate,3.67,0.63,3.25,61.7,63.6
DIVERSICARE OF SHELBY,SHELBY,MS,For-Profit,Medium,60,3,3,Understaffed,3.26,0.66,2.98,44,60
"NEW GLEN OAKS NURSING HOME, INC",GLEN OAKS,NY,For-Profit,Medium,60,4,4,Adequate,3.75,0.59,3.33,20,11.1
THE HAVEN OF ARCOLA,ARCOLA,IL,For-Profit,Medium,100,1,1,Understaffed,2.7,0.21,2.46,42.6,66.7
TABOR HILLS HEALTH CARE FAC,NAPERVILLE,IL,Non-Profit,Medium,96,5,5,Adequate,4.77,0.95,3.95,30.7,60
LAKELAND HEALTH CARE CTR,ELKHORN,WI,For-Profit,Medium,90,3,5,Adequate,4.4,0.75,3.75,23.9,26.7
BOWERSTON HILLS  NURSING & REHABILITATION,BOWERSTON,OH,For-Profit,Small,25,5,3,Adequate,3.78,0.61,3.64,23.8,20
MILLER'S AT OAK POINTE,COLUMBIA CITY,IN,For-Profit,Medium,82,4,4,Adequate,4.09,0.79,3.57,50.7,40
MOUNTAIN VIEW COMMUNITY,OSSIPEE,NH,Government,Medium,103,2,4,Adequate,4.41,0.43,4.25,47.2,11.1
EGER HEALTH CARE AND REHABILITATION CENTER,STATEN ISLAND,NY,Non-Profit,Large,378,3,3,Understaffed,3.21,1.01,2.68,30.9,31.2
Mountain Ridge Health and Rehabilitation,Monticello,KY,For-Profit,Medium,59,1,2,Understaffed,3.22,0.31,2.74,33.3,60
"OZARK HEALTH AND REHABILITATION, LLC",OZARK,AL,For-Profit,Medium,149,3,4,Adequate,4,0.49,3.51,45,38.9
NORTHWOODS LODGE,SILVERDALE,WA,For-Profit,Medium,57,3,4,Adequate,5.74,1.27,4.7,45.8,44.4
