Facility Name,City,State,Ownership Type,Facility Size,Certified Beds,Overall Rating,Staffing Rating,Staffing Status,Total Nurse Hours Per Resident Day,RN Hours Per Resident Day,Weekend Nurse Hours Per Resident Day,Total Nursing Turnover Rate,RN Turnover Rate
THE GRAND REHABILITATION AND NRSG AT RIVER VALLEY,POUGHKEEPSIE,NY,For-Profit,Large,160,2,2,Understaffed,3.22,0.29,2.64,22.8,55.6
MEADE DISTRICT HOSP LTCU DBA LONE TREE RETIREMENT,MEADE,KS,For-Profit,Small,45,3,4,Adequate,4.6,0.9,4.03,53.3,50
FRIENDS EXTENDED CARE CENTER,YELLOW SPRINGS,OH,Non-Profit,Medium,59,5,3,Adequate,4.7,0.44,4.11,37.3,50
UNITED PIONEER HOME,LUCK,WI,Non-Profit,Medium,50,3,4,Adequate,4.92,0.91,4.46,47.2,50
VANCREST OF NEW CARLISLE,NEW CARLISLE,OH,For-Profit,Medium,86,5,2,Adequate,3.99,0.39,3.66,40,50
CARDINAL NURSING AND REHABILITATION CENTER,SOUTH BEND,IN,For-Profit,Medium,144,5,3,Adequate,3.68,0.7,2.9,32.7,33.3
MOUNTAIN MEADOWS HEALTH AND REHABILITATION,BATESVILLE,AR,For-Profit,Medium,110,4,3,Understaffed,3.13,0.3,2.5,48.9,40
AZALEA TRAIL NURSING AND REHABILITATION CENTER,GRAND SALINE,TX,For-Profit,Medium,72,5,3,Adequate,3.49,0.31,2.97,27.3,50
INTEGRITY HC OF MARION,MARION,IL,For-Profit,Medium,125,1,3,Adequate,3.51,0.58,2.83,46.2,30.8
"SRMC Long Term Care, LLC dba Pole Creek Estates",Sidney,NE,Non-Profit,Medium,61,4,5,Adequate,3.69,0.68,3.44,51.3,14.3
PATAPSCO HEALTHCARE,RANDALLSTOWN,MD,For-Profit,Large,172,1,2,Adequate,3.5,0.64,3.12,58.2,75
MIDDLETON OAKS HEALTH AND REHABILITATION,WINONA,MS,For-Profit,Medium,120,1,3,Understaffed,3.31,0.57,2.83,56.9,65.2
"ALTERCARE OF NOBLES POND, INC",CANTON,OH,For-Profit,Medium,71,4,2,Adequate,4.03,0.7,3.46,70.8,58.8
Emerald Nursing & Rehab Columbus,Columbus,NE,For-Profit,Medium,145,3,2,Adequate,3.86,0.3,3.37,74,57.1
LOST CREEK  REHABILITATION AND NURSING CENTER,LIMA,OH,For-Profit,Medium,54,2,1,Understaffed,3.2,0.37,2.85,52.4,33.3
"VILLAGES HEALTHCARE AND REHABILITATION CENTER, THE",LADY LAKE,FL,For-Profit,Medium,120,3,2,Adequate,4.05,0.51,3.73,48.7,58.3
THE REHAB CENTER AT BRISTOL,BRISTOL,VA,For-Profit,Medium,90,1,4,Adequate,3.7,0.88,3.22,50.5,41.2
BENEDICTINE LIVING CENTER OF GARRISON,GARRISON,ND,Non-Profit,Medium,52,2,3,Understaffed,3.14,0.76,2.87,40.6,50
MANATEE SPRINGS REHABILITATION AND NURSING CENTER,BRADENTON,FL,For-Profit,Medium,120,5,5,Adequate,3.92,1.05,3.48,48.4,30.4
BRIARFIELD PLACE,BOARDMAN,OH,For-Profit,Medium,58,5,4,Adequate,3.9,0.45,3.67,32.2,20
WEST BEND NURSING AND REHABILITATION,SOUTH BEND,IN,For-Profit,Large,157,3,3,Adequate,3.8,0.72,3.02,53.8,37.5
THE HEALTHCARE CENTER AT BUCK CREEK,ALABASTER,AL,For-Profit,Large,198,3,2,Adequate,3.59,0.4,3.17,48,55.6
The New Homestead Care Center,Guthrie Center,IA,Non-Profit,Medium,58,2,3,Understaffed,3.28,0.57,3.04,60.7,50
HEARTLAND CARE AND REHABILITATION CENTER,CAPE GIRARDEAU,MO,For-Profit,Medium,102,4,2,Understaffed,3.26,0.41,2.85,63.2,50
SAN GABRIEL VALLEY MEDICAL CTR D/P SNF,SAN GABRIEL,CA,For-Profit,Small,44,5,4,Adequate,7.68,2.5,7.06,12.2,13
ARLINGTON GARDENS CARE CENTER,RIVERSIDE,CA,For-Profit,Medium,99,2,1,Adequate,4.23,0.4,3.85,41.8,63.6
BROOKDALE UNIVERSITY PARK SNF (AL),BIRMINGHAM,AL,For-Profit,Medium,66,1,4,Adequate,4.23,0.88,3.8,43.1,26.7
Gonzales Healthcare Center,Gonzales,LA,For-Profit,Medium,120,1,2,Adequate,3.6,0.24,3,48.3,57.1
Dahlia Gardens Center for Nursing and Rehabilitati,Aberdeen,NC,For-Profit,Medium,90,2,3,Understaffed,3.33,0.32,3.13,39.5,37.5
PruittHealth-Raleigh,Raleigh,NC,For-Profit,Large,150,3,3,Adequate,3.65,0.51,3.14,38.3,41.2
BRIDGEPOINT SUBACUTE AND REHAB CAPITOL HILL,WASHINGTON,DC,For-Profit,Medium,117,2,3,Adequate,5.32,2.23,4.81,50,35.7
LIFE CARE CENTER OF FORT WAYNE,FORT WAYNE,IN,For-Profit,Medium,115,5,3,Adequate,3.62,1.07,3.22,57.8,57.9
HATTON PRAIRIE VILLAGE,HATTON,ND,Non-Profit,Small,38,5,5,Adequate,4.27,0.95,3.74,31.9,22.2
HARLINGEN NURSING AND REHABILITATION CENTER,HARLINGEN,TX,Non-Profit,Medium,120,5,2,Understaffed,3.23,0.32,2.82,39,28.6
APOSTOLIC CHRISTIAN SKYLINES,PEORIA,IL,Non-Profit,Medium,62,5,5,Adequate,4.66,0.94,4.24,41.7,50
LAKEWOOD NRSG & REHAB CENTER,PLAINFIELD,IL,For-Profit,Medium,131,2,2,Understaffed,3.23,0.74,2.92,41.6,31.6
COMMUNITY PLACE,BRANDON,MS,Non-Profit,Medium,60,3,4,Adequate,5.31,0.75,3.68,62.7,53.3
COMPLETE CARE AT HARRINGTON COURT,COLCHESTER,CT,For-Profit,Medium,130,2,1,Understaffed,3.27,0.58,2.99,54.4,65
AGAWAM NORTH REHAB AND NURSING,AGAWAM,MA,For-Profit,Medium,124,2,3,Adequate,3.61,0.72,2.97,42.9,36.8
Scottish Pines Rehabilitation and Nursing Center,Laurinburg,NC,For-Profit,Medium,149,4,2,Adequate,3.6,0.26,3.05,28.7,55.6
NORTH MOUNTAIN MEDICAL AND REHABILITATION CENTER,PHOENIX,AZ,For-Profit,Large,155,5,2,Adequate,6.06,1.03,5.5,42.9,57.1
MEMPHIS JEWISH HOME,CORDOVA,TN,Non-Profit,Large,160,2,4,Adequate,5.88,1.05,5.17,59.1,37
GREENSPRING VILLAGE,SPRINGFIELD,VA,For-Profit,Medium,62,2,5,Adequate,6.05,1.07,5.66,33.8,31.8
VALLEY MANOR AND REHABILITATION CENTER,EXCELSIOR SPRINGS,MO,For-Profit,Medium,120,2,2,Understaffed,3.16,0.29,2.85,52.2,33.3
Hendersonville Health and Rehabilitation,Flat Rock,NC,For-Profit,Medium,130,5,2,Adequate,3.52,0.54,2.87,36.8,30.8
VALENCIA HILLS HEALTH AND REHABILITATION CENTER,LAKELAND,FL,For-Profit,Large,249,1,3,Adequate,3.75,0.56,3.51,47.1,54.5
WESTERN SLOPE HEALTH CENTER,PLACERVILLE,CA,For-Profit,Medium,99,5,2,Adequate,4.12,0.38,3.66,59.1,55.6
Bennington Health & Rehab,Bennington,VT,For-Profit,Medium,100,1,3,Adequate,4.01,0.6,3.4,68,62.5
BURBANK PARKE CARE CENTER,BURBANK,OH,For-Profit,Medium,81,4,2,Adequate,3.8,0.41,3.09,34.5,40
FISHKILL CENTER FOR REHABILITATION AND NURSING,BEACON,NY,For-Profit,Large,160,2,2,Understaffed,3.32,0.52,3.09,47,45.5
GOOD SAMARITAN SOCIETY - DECATUR COUNTY,OBERLIN,KS,Non-Profit,Small,45,2,4,Adequate,4.29,1.54,3.45,66.7,62.5
"LAKE RIDGE CARE CENTER OF BUFFALO, INC.",BUFFALO,MN,Non-Profit,Medium,56,5,5,Adequate,4.68,1.37,3.95,46.4,33.3
CLAREMONT HEIGHTS POST ACUTE,CLAREMONT,CA,For-Profit,Medium,99,2,2,Adequate,4.02,0.34,3.84,65.4,100
Cedar Hills Center for Nursing and Rehabilitation,Clemmons,NC,For-Profit,Medium,94,1,1,Adequate,3.63,0.2,3.43,67.1,66.7
SHIPPENVILLE NURSING AND REHAB,SHIPPENVILLE,PA,For-Profit,Medium,120,3,3,Understaffed,3.36,0.67,3.09,57.8,64.3
The Estates at Roseville LLC,ROSEVILLE,MN,For-Profit,Medium,140,2,3,Adequate,3.65,0.63,3.41,43.5,68.4
Fairlane Senior Care and Rehab Center,Detroit,MI,For-Profit,Large,180,4,3,Adequate,3.66,0.38,3.27,38.5,47.6
"NHC HEALTHCARE, ATHENS",ATHENS,TN,For-Profit,Medium,86,4,3,Adequate,3.9,0.61,3.52,53.9,27.3
CASA BONITA CONVALESCENT HOSPITAL,SAN DIMAS,CA,For-Profit,Medium,106,5,2,Adequate,4.48,0.64,4.17,46.5,54.5
PruittHealth-Rockingham,Rockingham,NC,For-Profit,Medium,120,2,3,Adequate,3.49,0.61,3.04,47.4,50
The Lodge at Rocky Mount Health and Rehabilitation,Rocky Mount,NC,For-Profit,Medium,100,3,3,Adequate,4.13,0.35,3.77,44.3,44.4
Henson Park Health & Rehabilitation,Danville,KY,For-Profit,Medium,90,1,1,Understaffed,2.94,0.27,2.58,50,14.3
BONNER SPRINGS NURSING & REHAB CENTER,BONNER SPRINGS,KS,For-Profit,Small,45,1,1,Understaffed,2.86,0.26,2.37,90,100
The Neighborhoods of White Lake,White Lake,MI,Non-Profit,Small,39,5,4,Adequate,4.48,0.69,4.15,34,50
CORNERSTONE GARDENS LLP,TEMPLE,TX,For-Profit,Medium,130,3,2,Adequate,3.75,0.34,2.76,53.5,66.7
"HIGHLAND COURT, A REHABILITATION AND RESIDENT CARE",MARSHALL,AR,For-Profit,Medium,78,5,5,Adequate,4.16,0.83,3.6,29.5,25
Northgate Care Center,Waukon,IA,For-Profit,Medium,50,3,3,Understaffed,2.8,0.37,2.49,23.5,40
EASTVIEW HEALTH AND REHABILITATION CENTER,ANTIGO,WI,For-Profit,Medium,118,3,2,Understaffed,3.03,0.59,2.59,50,14.3
ELDERWOOD AT TICONDEROGA,TICONDEROGA,NY,For-Profit,Medium,84,1,1,Understaffed,2.88,0.55,2.72,48.5,50
PIONEER VALLEY HEALTH & REHABILITATION,SOUTH HADLEY,MA,For-Profit,Medium,132,1,2,Understaffed,3.39,0.5,3.05,63.3,82.6
"BRITISH HOME, THE",BROOKFIELD,IL,Non-Profit,Medium,72,4,4,Adequate,4.32,1.25,3.97,48,53.8
FOREMOST AT SHARON LLC,SHARON,MA,For-Profit,Medium,66,2,3,Adequate,3.77,0.66,3.38,38.3,75
Franklin-Simpson Nursing and Rehabilitation Center,Franklin,KY,For-Profit,Medium,98,2,1,Understaffed,3.21,0.51,2.84,50.6,81.8
CARE ONE AT LEXINGTON,LEXINGTON,MA,For-Profit,Large,211,2,4,Adequate,3.73,0.85,3.39,16.7,28.6
MAJESTIC CARE OF NEW HAVEN,NEW HAVEN,IN,For-Profit,Medium,109,2,1,Adequate,3.48,0.59,2.83,66.7,37.5
DIVERSICARE OF MONTGOMERY,MONTGOMERY,AL,For-Profit,Medium,138,2,2,Understaffed,3.09,0.48,2.65,52.7,40
Riverside Nursing Centre,Grand Haven,MI,For-Profit,Small,34,1,4,Understaffed,3.42,0.86,3.21,40,50
"Artesia Healthcare & Rehabilitation Center, LLC",Artesia,NM,For-Profit,Medium,65,1,2,Understaffed,3.2,0.57,2.7,52.8,50
Optalis Health and Rehabilitation of Troy,Troy,MI,For-Profit,Large,160,2,2,Adequate,4.31,0.43,3.78,55.8,63.2
Foxdale Village,STATE COLLEGE,PA,Non-Profit,Small,46,5,5,Adequate,5.75,1.11,5.1,26.4,41.7
"Friendship Haven, Inc",Fort Dodge,IA,Non-Profit,Large,155,4,5,Adequate,4.5,0.94,4.01,38.7,33.3
HARBORVIEW HEALTH CENTER WEST ALTAMONTE,ALTAMONTE SPRINGS,FL,For-Profit,Medium,116,2,4,Adequate,3.55,0.67,3.33,35.1,42.9
THE TERRACE AT COURTENAY SPRINGS,MERRITT ISLAND,FL,For-Profit,Medium,80,2,3,Adequate,3.88,0.41,3.46,47.1,54.5
JAMES T CHAMPION,MERIDIAN,MS,Government,Medium,70,4,5,Adequate,4.7,1.54,3.89,38.6,22.7
CURRY VILLAGE HEALTH AND REHAB OF CASCADIA,BROOKINGS,OR,For-Profit,Medium,59,2,4,Adequate,4.43,0.83,3.9,50,28.6
ARKANSAS CITY PRESBYTERIAN MANOR,ARKANSAS CITY,KS,Non-Profit,Medium,60,5,4,Adequate,4.02,0.51,3.56,31.7,42.9
FOREST HILLS CENTER,COLUMBUS,OH,For-Profit,Medium,75,3,2,Understaffed,3.14,0.37,2.89,33.3,44.4
Friendship Village Of Bloomington,BLOOMINGTON,MN,Non-Profit,Medium,66,4,5,Adequate,4.14,1.15,3.67,36.8,40
CORINTH REHABILITATION SUITES ON THE PARKWAY,CORINTH,TX,For-Profit,Medium,134,2,2,Understaffed,3.39,0.49,2.92,55.7,50
MODESTO POST ACUTE CENTER,MODESTO,CA,For-Profit,Medium,99,5,4,Adequate,3.93,0.73,3.66,45.3,52.9
Fort Bend Healthcare Center,Rosenberg,TX,For-Profit,Medium,56,3,2,Understaffed,3.22,0.48,2.61,39.4,66.7
CADIA REHABILITATION RENAISSANCE,MILLSBORO,DE,For-Profit,Medium,130,2,3,Adequate,3.7,0.72,3.44,54.5,53.8
ENCORE VILLAGE,SCHAUMBURG,IL,For-Profit,Large,169,2,3,Adequate,3.74,1.13,3.28,42.4,31.9
RIVERVIEW POINTE CARE CENTER,OLMSTED FALLS,OH,For-Profit,Medium,126,5,2,Adequate,3.65,0.5,3.24,50,46.2
VALE HEALTHCARE CENTER,SAN PABLO,CA,For-Profit,Large,202,4,3,Adequate,3.83,0.32,3.63,32.1,36.8
AUSTINWOODS REHAB HEALTH CARE,AUSTINTOWN,OH,For-Profit,Medium,99,5,3,Adequate,4.59,0.51,4.08,35.2,22.2
Smoky Ridge Health and Rehabilitation,Burnsville,NC,For-Profit,Medium,140,2,3,Understaffed,3.16,0.78,2.82,44.9,23.8
PIONEER RIDGE RETIREMENT COMMUNITY,LAWRENCE,KS,For-Profit,Medium,76,1,4,Adequate,4.04,0.71,3.58,56.8,75
Mecklenburg Heath and Rehabilitation,Charlotte,NC,For-Profit,Medium,100,5,2,Adequate,3.63,0.33,3.19,52.5,61.5
LONGVIEW HILL NURSING AND REHABILITATION CENTER,LONGVIEW,TX,Non-Profit,Large,198,1,3,Adequate,3.67,0.53,3.26,34,40
Brush Country Nursing and Rehabilitation,Austin,TX,For-Profit,Medium,118,1,3,Understaffed,3.33,0.61,3.05,69.7,85.7
THE COURTYARDS AT PASADENA,PASADENA,TX,For-Profit,Large,196,3,2,Understaffed,3.4,0.44,3.1,48.8,53.8
TUSCANY VILLAGE,PEARLAND,TX,For-Profit,Medium,132,4,4,Adequate,5.27,0.98,4.78,59.6,45.5
WE CARE SKILLED NURSING FACILITY,HAYWARD,CA,For-Profit,Small,28,5,4,Adequate,4.39,0.58,4.41,41.2,85.7
Cascades Health and Rehabilitation Center,DELRAY BEACH,FL,Non-Profit,Medium,100,3,4,Adequate,3.79,1.13,3.34,18.1,20.8
BRIA OF GENEVA,GENEVA,IL,For-Profit,Medium,107,3,1,Adequate,3.81,0.51,2.94,58.7,61.5
Ridgewood Rehabilitation & Care Center,Seward,NE,Non-Profit,Medium,82,3,4,Adequate,3.65,0.42,3.22,39.4,37.5
WILLOW CREEK HEALTH CARE,GUTHRIE,OK,For-Profit,Medium,100,5,4,Adequate,3.95,0.32,3.65,24,57.1
KEI-AI LOS ANGELES HEALTHCARE CENTER,LOS ANGELES,CA,For-Profit,Large,300,1,3,Adequate,4.35,0.51,3.95,48.1,46.2
PARK CENTER HEALTHCARE AND REHABILITATION,YOUNGSTOWN,OH,For-Profit,Medium,99,1,2,Adequate,3.57,0.62,3,55.4,50
CASA DE LAS CAMPANAS,SAN DIEGO,CA,Non-Profit,Medium,99,1,4,Adequate,4.79,0.74,4.46,48.7,55.6
COURTYARDS COMM LIVING CENTER,FULTON,MS,For-Profit,Medium,66,1,2,Adequate,3.6,0.53,2.99,66.1,75
GREENFIELD SKILLED NURSING AND REHABILITATION,GREENFIELD,OH,For-Profit,Medium,50,3,1,Understaffed,3.36,0.55,3.02,56,42.9
"AVANTE AT LAKE WORTH, INC.",LAKE WORTH,FL,For-Profit,Medium,138,1,4,Adequate,3.53,0.78,3.18,36.7,36.8
POLARIS TRANSITIONAL CARE,ANCHORAGE,AK,For-Profit,Medium,50,3,5,Adequate,5.56,2.73,4.57,52.8,41
GARDENS OF EUCLID BEACH,CLEVELAND,OH,For-Profit,Medium,99,2,1,Understaffed,3.39,0.39,2.93,60.9,62.5
PREMIER CARE CENTER FOR PALM SPRINGS,PALM SPRINGS,CA,For-Profit,Medium,99,2,3,Adequate,4.07,0.28,3.51,49.1,57.1
St. Joseph Continuing Care Center,MONROE,LA,For-Profit,Medium,130,1,1,Understaffed,3.36,0.25,2.81,50,66.7
EXETER CENTER,EXETER,NH,For-Profit,Medium,81,3,3,Adequate,3.67,0.87,3.21,43.1,50
OHIO LIVING SWAN CREEK,TOLEDO,OH,Non-Profit,Small,34,4,4,Adequate,5.15,1.16,4.05,59.7,16.7
Cortland Acres Health and Rehabilitation,THOMAS,WV,For-Profit,Medium,94,1,1,Understaffed,3.25,0.54,2.69,75.9,82.4
"WATERS OF GEORGETOWN, THE",GEORGETOWN,IN,Non-Profit,Medium,68,1,2,Adequate,5.42,0.36,5.09,51.2,75
LIFE CARE CENTER OF OCALA,OCALA,FL,For-Profit,Medium,120,5,4,Adequate,3.91,0.69,3.44,29.2,30
CAPITOL REHABILITATION AND HEALTHCARE CENTER,HARRISBURG,PA,For-Profit,Medium,138,3,2,Adequate,3.5,0.63,3.01,40.9,27.8
The Estates at Fridley LLC,FRIDLEY,MN,Non-Profit,Medium,50,3,5,Adequate,3.51,0.82,3.13,31.6,14.3
TIMBERLINE POST ACUTE,ALBANY,OR,For-Profit,Medium,67,5,4,Adequate,4.86,0.43,4.26,42,42.9
BRIARWOOD HEALTH CENTER BY HARBORVIEW,TUCKER,GA,For-Profit,Medium,100,4,2,Adequate,3.94,0.45,3.22,41,62.5
Samarkand Skilled Nursing Facility,Santa Barbara,CA,Non-Profit,Medium,63,4,4,Adequate,4.11,0.44,3.74,38.1,33.3
"AGAPE REHABILITATION & NURSING CENTER, A WATERS CM",JOHNSON CITY,TN,For-Profit,Medium,84,4,2,Adequate,3.49,0.68,3.24,46,36.4
DYERSBURG HEALTH AND REHABILITATION CENTER,DYERSBURG,TN,For-Profit,Medium,123,2,1,Understaffed,3.43,0.56,2.98,67.5,53.8
Regency at Whitmore Lake,Whitmore Lake,MI,For-Profit,Medium,131,1,3,Adequate,3.54,0.39,3.08,44.2,38.5
WEDGWOOD GARDENS CARE CENTER,FREEHOLD,NJ,For-Profit,Large,151,4,3,Understaffed,3.31,0.79,2.76,41.3,34.8
AUTUMN MEADOWS OF CAHOKIA,CAHOKIA,IL,For-Profit,Large,150,1,1,Understaffed,3.11,0.27,2.69,47.1,50
MERCY HEALTH SERVICES,MILWAUKEE,WI,For-Profit,Medium,60,2,2,Adequate,3.66,0.83,3.29,66.7,78.6
"ST ANNES NURSING CENTER, ST ANNES RESIDENCE INC",MIAMI,FL,Non-Profit,Large,213,4,5,Adequate,3.9,0.98,3.63,25.8,18.2
ROCK CREEK OF OTTAWA,OTTAWA,KS,For-Profit,Medium,75,3,3,Adequate,3.81,0.8,3.43,59.6,44.4
Elderberry Health Care,Marshall,NC,For-Profit,Medium,80,3,2,Understaffed,3.03,0.47,2.6,38.7,33.3
NORTHERN MONTANA CARE CENTER,HAVRE,MT,Non-Profit,Medium,135,5,5,Adequate,4.5,1.07,4.05,49,29.4
THE SPRINGS POST-ACUTE,NORWALK,CA,For-Profit,Medium,99,2,2,Adequate,4.91,0.55,4.53,31.5,23.1
"PRUITTHEALTH - HOLLY HILL, LLC",VALDOSTA,GA,For-Profit,Medium,100,1,3,Understaffed,3.48,0.68,2.97,32.8,25
VALLEY PALMS CARE CENTER,N HOLLYWOOD,CA,For-Profit,Medium,99,1,3,Adequate,4.1,0.43,3.67,35.1,42.9
PROVIDENCE LITTLE COMP OF MARY SUBACUTE CARE CTR,SAN PEDRO,CA,Non-Profit,Medium,125,3,4,Adequate,8.38,1.98,7.89,28.4,9.3
LAKE FOREST PLACE,LAKE FOREST,IL,Non-Profit,Medium,50,5,5,Adequate,5.53,2.27,4.87,27,17.9
Santa Maria Post Acute,Santa Maria,CA,For-Profit,Medium,55,3,3,Adequate,4.21,0.47,3.67,46.9,88.9
APERION CARE FOREST PARK,FOREST PARK,IL,For-Profit,Large,232,1,1,Understaffed,3.37,0.64,2.84,48.5,48.1
SEASONS REHAB AND HEALTHCARE CENTER,KANSAS CITY,MO,For-Profit,Medium,78,4,2,Understaffed,3.43,0.34,3.06,61.9,60
"HILLSIDE HEALTH AND REHABILITATION CENTER	",ZEPHYRHILLS,FL,For-Profit,Medium,120,3,2,Adequate,3.49,0.44,3.13,60.2,65
HEALTH CENTER AT BLOOMINGDALE,BLOOMINGDALE,NJ,For-Profit,Medium,120,3,4,Understaffed,3.45,0.59,3.15,38.5,26.7
ROSE MOUNTAIN CARE CENTER,NEW BRUNSWICK,NJ,For-Profit,Medium,112,2,4,Adequate,3.72,0.57,3.37,36.6,33.3
COPPER KNOLL HEALTH & REHAB LLC,WASHINGTN C H,OH,For-Profit,Medium,75,4,3,Understaffed,2.99,0.58,2.72,29.5,10
SCHULMAN AND SCHACHNE INST FOR NURSING & REHAB,BROOKLYN,NY,For-Profit,Large,448,2,4,Adequate,4.03,0.88,3.45,26.6,31.4
"LEAKESVILLE REHABILITATION AND NURSING CENTER, INC",LEAKESVILLE,MS,For-Profit,Medium,60,2,3,Adequate,4.95,0.58,3.99,42.9,61.5
The Oaks at Battle Creek,Battle Creek,MI,For-Profit,Medium,77,4,4,Adequate,3.94,0.91,3.71,33.8,26.7
CUMBERNAULD VILLAGE,WINFIELD,KS,For-Profit,Small,42,4,5,Adequate,5.07,1.09,4.12,40.8,0
WILLOWS OF SHELBYVILLE,SHELBYVILLE,IN,Government,Medium,121,1,1,Adequate,3.77,0.46,3.18,58.7,72.7
SOUTHAMPTON MEMORIAL HOSP,FRANKLIN,VA,Non-Profit,Medium,129,5,5,Adequate,3.93,1.03,3.33,28.2,29.2
FORT SANDERS TCU,KNOXVILLE,TN,Non-Profit,Small,24,5,5,Adequate,6.86,3.78,5.56,37,17.6
"COLONIAL REHABILITATION AND NURSING, LLC",COLORADO SPRINGS,CO,For-Profit,Medium,80,1,1,Understaffed,3.2,0.36,2.9,70.8,87.5
